"Kod";"Nazwa";"Dochody";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"ogółem";"2014";76664450,40;"zł";"";
0201000;"Powiat bolesławiecki";"ogółem";"2015";79570677,25;"zł";"";
0201000;"Powiat bolesławiecki";"ogółem";"2016";78888445,17;"zł";"";
0201000;"Powiat bolesławiecki";"ogółem";"2017";89987094,19;"zł";"";
0201000;"Powiat bolesławiecki";"ogółem";"2018";97759309,30;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2014";92634251,52;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2015";88722403,17;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2016";90305735,32;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2017";86424616,23;"zł";"";
0202000;"Powiat dzierżoniowski";"ogółem";"2018";95113299,14;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2014";118608592,95;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2015";101934469,06;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2016";105316279,17;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2017";108545939,12;"zł";"";
0203000;"Powiat głogowski";"ogółem";"2018";109565258,50;"zł";"";
0204000;"Powiat górowski";"ogółem";"2014";38819062,59;"zł";"";
0204000;"Powiat górowski";"ogółem";"2015";35705776,24;"zł";"";
0204000;"Powiat górowski";"ogółem";"2016";35767549,55;"zł";"";
0204000;"Powiat górowski";"ogółem";"2017";38726072,36;"zł";"";
0204000;"Powiat górowski";"ogółem";"2018";39661386,96;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2014";53453109,34;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2015";59145098,49;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2016";53750216,62;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2017";53831666,50;"zł";"";
0205000;"Powiat jaworski";"ogółem";"2018";64548430,56;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2014";65005859,82;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2015";68165736,42;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2016";65874849,88;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2017";63739560,48;"zł";"";
0206000;"Powiat jeleniogórski";"ogółem";"2018";74685460,40;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2014";49737879,33;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2015";43868438,71;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2016";43936453,28;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2017";44047043,07;"zł";"";
0207000;"Powiat kamiennogórski";"ogółem";"2018";45965083,31;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2014";175652878,93;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2015";178095411,41;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2016";178405726,89;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2017";189397173,19;"zł";"";
0208000;"Powiat kłodzki";"ogółem";"2018";203841129,26;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2014";61407006,20;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2015";61377588,24;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2016";63589299,35;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2017";68127635,06;"zł";"";
0209000;"Powiat legnicki";"ogółem";"2018";72891720,56;"zł";"";
0210000;"Powiat lubański";"ogółem";"2014";59802668,64;"zł";"";
0210000;"Powiat lubański";"ogółem";"2015";57887271,31;"zł";"";
0210000;"Powiat lubański";"ogółem";"2016";54739805,09;"zł";"";
0210000;"Powiat lubański";"ogółem";"2017";58388012,61;"zł";"";
0210000;"Powiat lubański";"ogółem";"2018";61425549,57;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2014";106962087,86;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2015";82505748,40;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2016";87921125,87;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2017";104901638,56;"zł";"";
0211000;"Powiat lubiński";"ogółem";"2018";113160533,45;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2014";55943087,49;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2015";55008974,37;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2016";54151703,75;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2017";54229374,80;"zł";"";
0212000;"Powiat lwówecki";"ogółem";"2018";61215593,96;"zł";"";
0213000;"Powiat milicki";"ogółem";"2014";55326671,61;"zł";"";
0213000;"Powiat milicki";"ogółem";"2015";49390831,06;"zł";"";
0213000;"Powiat milicki";"ogółem";"2016";47421877,63;"zł";"";
0213000;"Powiat milicki";"ogółem";"2017";48260107,97;"zł";"";
0213000;"Powiat milicki";"ogółem";"2018";51262523,73;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2014";97151235,44;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2015";93179926,15;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2016";96441773,40;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2017";104964706,55;"zł";"";
0214000;"Powiat oleśnicki";"ogółem";"2018";111458228,20;"zł";"";
0215000;"Powiat oławski";"ogółem";"2014";63507398,32;"zł";"";
0215000;"Powiat oławski";"ogółem";"2015";67061721,30;"zł";"";
0215000;"Powiat oławski";"ogółem";"2016";71839140,84;"zł";"";
0215000;"Powiat oławski";"ogółem";"2017";74505459,35;"zł";"";
0215000;"Powiat oławski";"ogółem";"2018";78307863,53;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2014";75994742,11;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2015";63570554,15;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2016";49867759,46;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2017";56889807,82;"zł";"";
0216000;"Powiat polkowicki";"ogółem";"2018";59351476,18;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2014";47604170,50;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2015";48128264,11;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2016";47695163,87;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2017";49778538,41;"zł";"";
0217000;"Powiat strzeliński";"ogółem";"2018";51142586,67;"zł";"";
0218000;"Powiat średzki";"ogółem";"2014";38001809,60;"zł";"";
0218000;"Powiat średzki";"ogółem";"2015";37654560,88;"zł";"";
0218000;"Powiat średzki";"ogółem";"2016";42577701,22;"zł";"";
0218000;"Powiat średzki";"ogółem";"2017";42272095,82;"zł";"";
0218000;"Powiat średzki";"ogółem";"2018";49704674,33;"zł";"";
0219000;"Powiat świdnicki";"ogółem";"2014";138626615,10;"zł";"";
