"Kod";"Nazwa";"Rodzaje dotacji";"Przeznaczenie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0201000;"Powiat bolesławiecki";"dotacje";"ogółem";"2014";18986939,57;"zł";"";
0201000;"Powiat bolesławiecki";"dotacje";"ogółem";"2015";17720912,55;"zł";"";
0201000;"Powiat bolesławiecki";"dotacje";"ogółem";"2016";18984930,88;"zł";"";
0201000;"Powiat bolesławiecki";"dotacje";"ogółem";"2017";29516963,19;"zł";"";
0201000;"Powiat bolesławiecki";"dotacje";"ogółem";"2018";32401785,52;"zł";"";
0202000;"Powiat dzierżoniowski";"dotacje";"ogółem";"2014";21961967,34;"zł";"";
0202000;"Powiat dzierżoniowski";"dotacje";"ogółem";"2015";17287682,01;"zł";"";
0202000;"Powiat dzierżoniowski";"dotacje";"ogółem";"2016";16579146,77;"zł";"";
0202000;"Powiat dzierżoniowski";"dotacje";"ogółem";"2017";14433149,95;"zł";"";
0202000;"Powiat dzierżoniowski";"dotacje";"ogółem";"2018";21840962,05;"zł";"";
0203000;"Powiat głogowski";"dotacje";"ogółem";"2014";31409180,94;"zł";"";
0203000;"Powiat głogowski";"dotacje";"ogółem";"2015";14279822,82;"zł";"";
0203000;"Powiat głogowski";"dotacje";"ogółem";"2016";14956735,72;"zł";"";
0203000;"Powiat głogowski";"dotacje";"ogółem";"2017";18043883,45;"zł";"";
0203000;"Powiat głogowski";"dotacje";"ogółem";"2018";17912297,22;"zł";"";
0204000;"Powiat górowski";"dotacje";"ogółem";"2014";10056986,95;"zł";"";
0204000;"Powiat górowski";"dotacje";"ogółem";"2015";9614167,36;"zł";"";
0204000;"Powiat górowski";"dotacje";"ogółem";"2016";8125743,60;"zł";"";
0204000;"Powiat górowski";"dotacje";"ogółem";"2017";9341482,42;"zł";"";
0204000;"Powiat górowski";"dotacje";"ogółem";"2018";8933439,83;"zł";"";
0205000;"Powiat jaworski";"dotacje";"ogółem";"2014";16675734,48;"zł";"";
0205000;"Powiat jaworski";"dotacje";"ogółem";"2015";15479717,52;"zł";"";
0205000;"Powiat jaworski";"dotacje";"ogółem";"2016";15603074,10;"zł";"";
0205000;"Powiat jaworski";"dotacje";"ogółem";"2017";15032404,99;"zł";"";
0205000;"Powiat jaworski";"dotacje";"ogółem";"2018";21966292,02;"zł";"";
0206000;"Powiat jeleniogórski";"dotacje";"ogółem";"2014";24443163,61;"zł";"";
0206000;"Powiat jeleniogórski";"dotacje";"ogółem";"2015";24277823,42;"zł";"";
0206000;"Powiat jeleniogórski";"dotacje";"ogółem";"2016";21734855,94;"zł";"";
0206000;"Powiat jeleniogórski";"dotacje";"ogółem";"2017";18350290,39;"zł";"";
0206000;"Powiat jeleniogórski";"dotacje";"ogółem";"2018";26379862,07;"zł";"";
0207000;"Powiat kamiennogórski";"dotacje";"ogółem";"2014";21487995,32;"zł";"";
0207000;"Powiat kamiennogórski";"dotacje";"ogółem";"2015";14387795,80;"zł";"";
0207000;"Powiat kamiennogórski";"dotacje";"ogółem";"2016";13233071,47;"zł";"";
0207000;"Powiat kamiennogórski";"dotacje";"ogółem";"2017";13735921,05;"zł";"";
0207000;"Powiat kamiennogórski";"dotacje";"ogółem";"2018";13722261,62;"zł";"";
0208000;"Powiat kłodzki";"dotacje";"ogółem";"2014";41509820,18;"zł";"";
0208000;"Powiat kłodzki";"dotacje";"ogółem";"2015";38637118,22;"zł";"";
0208000;"Powiat kłodzki";"dotacje";"ogółem";"2016";35264956,89;"zł";"";
0208000;"Powiat kłodzki";"dotacje";"ogółem";"2017";43035744,87;"zł";"";
0208000;"Powiat kłodzki";"dotacje";"ogółem";"2018";53828557,77;"zł";"";
0209000;"Powiat legnicki";"dotacje";"ogółem";"2014";23767067,95;"zł";"";
0209000;"Powiat legnicki";"dotacje";"ogółem";"2015";22689151,91;"zł";"";
0209000;"Powiat legnicki";"dotacje";"ogółem";"2016";22010122,73;"zł";"";
0209000;"Powiat legnicki";"dotacje";"ogółem";"2017";26323141,20;"zł";"";
0209000;"Powiat legnicki";"dotacje";"ogółem";"2018";27083457,89;"zł";"";
0210000;"Powiat lubański";"dotacje";"ogółem";"2014";19466213,47;"zł";"";
0210000;"Powiat lubański";"dotacje";"ogółem";"2015";18945857,02;"zł";"";
0210000;"Powiat lubański";"dotacje";"ogółem";"2016";14632933,92;"zł";"";
0210000;"Powiat lubański";"dotacje";"ogółem";"2017";18244975,64;"zł";"";
0210000;"Powiat lubański";"dotacje";"ogółem";"2018";20817658,03;"zł";"";
